code_insee,long,lat
01284,4.91667,46.3833
01123,4.83333,46.2333
01298,5.73333,46.1833
01422,5.31667,46.1333
01309,5.43333,46.3333
01421,5.4,45.9167
01320,4.88333,46.3
01119,5.58333,46.0333
01288,5.93333,46.2
01319,4.95,46.0833
01096,5.06667,46.1833
01431,5.35,45.9167
01228,5.55,46.1333
01156,5.11667,45.9
01039,5.75,45.8333
01339,4.73723,45.945
01329,5.6,45.8333
01304,5.33333,46.05
01269,5.61667,46.15
01094,5,46.4333
01272,5,46.1667
01162,5.73333,45.8167
01187,5.68333,46
01386,5.36667,45.8833
01409,5.7,45.9667
01453,5.71667,45.9
01345,5.33333,45.95
01088,5.21667,45.8667
01099,5.25,45.9
01233,5.55,45.7833
01138,5.78333,45.85
01230,5.08333,46.4167
01232,5.25,46.3333
01163,5.18333,46.3667
01426,5.36834,46.2714
01193,5.63333,45.65
01350,5.28333,46.2833
01185,5.6,45.9667
01389,4.9,46.0667
01293,5.51667,46.15
01155,5.5,45.9583
01303,5.4,46.0833
01129,5.21667,45.9667
01265,5.57084,46.1867
01107,5.43333,45.9
01221,5.65,45.9667
01447,5.38333,46.1833
01374,5.33333,46.1
01354,6.01667,46.25
01051,5.48333,46.2
01115,5.06667,46.2667
01218,5.71667,45.9333
01084,5.03333,46.1833
01444,5.43333,45.85
01067,5.5,46.1167
01348,4.81667,46.1667
01321,5.33333,46.1667
01054,5.16667,45.8833
01113,5.08333,46.1667
01296,5.3,46.3833
01074,5.16667,46
01299,5.08333,46.0167
01434,5.1,45.9833
01254,5.28333,46.1667
01442,5.68333,45.9
01333,4.95,45.9167
01062,5.1,45.8667
01289,5.2,46.1833
01110,5.61667,45.7333
01261,4.93333,45.95
01364,5.06667,46.4
01167,4.83333,46.2
01266,5.13333,46.3333
01111,5.46667,45.8833
01077,5.46667,46.1333
01252,4.81667,46.1333
01420,4.8,46.1667
01075,4.8,46.0333
01273,5.36667,46.0833
01418,5.01667,45.8167
01199,5.41667,46.0333
01279,5.46667,45.95
01225,4.76667,46.0667
01027,5.1,45.8333
01008,5.33333,45.9333
01342,5.05195,45.8942
01047,5.25,45.85
01117,5.6,45.7333
01276,5.06667,45.8333
01267,5.52667,46.1856
01006,5.6,45.75
01378,5.2,45.8167
01104,5.88333,46.2167
01396,5.41667,45.85
01268,5.66667,45.6333
01292,5.65,46.0333
01124,5.23333,46.45
01372,5.68333,45.85
01388,5.08333,46.4667
01056,5.46667,46.0333
01089,5.3,45.9667
01310,5.65,45.6833
01013,5.48333,45.9
01090,5.2,46.0333
01190,5.56667,45.7833
01057,4.9,46.4
01064,5.46667,45.7833
01322,4.81667,45.9333
01240,5.56667,46.2667
01150,5.36667,46.2167
01091,5.78333,46.1333
01301,5.13333,46.25
01436,6.08333,46.35
01238,4.83333,45.9167
01343,4.98333,46.2667
01404,5.45,46.15
01277,5.43333,45.9833
01192,5.55,46.2167
01381,5.15,46.05
01183,4.78333,46.1
01188,4.88333,46.1833
01425,5.26667,46.1167
01347,4.78333,45.95
01242,5.43333,46.0667
01349,5.15,45.9333
01085,5.03333,46.0667
01361,5.21667,45.8333
01398,4.85,46
01271,5.76667,45.7333
01338,5.58333,45.7
01149,5.36667,45.9833
01165,4.8,46.0667
01148,5.66667,46.3167
01358,5.61667,45.7667
01249,4.95306,45.8245
01205,5.83333,46.1333
01153,6.03333,46.3167
01365,4.91667,46.25
01044,5.78333,46.0667
01002,5.41667,46
01446,4.83667,46.0212
01443,5.01667,46
01417,5.6,45.8833
01352,5,46.4
01411,5.41667,45.8667
01369,5.28,46.1903
01105,4.88333,45.9167
01017,5.48333,45.9333
01415,5.71667,45.8667
01045,5.03333,45.95
01368,4.95,46.2
01419,5.97973,46.2364
01203,4.88333,46.25
01133,5.76667,45.7667
01341,5.73333,45.7833
01356,5.03333,46.1
01206,5.53333,46.05
01433,5.11667,46.4833
01122,5.6,45.95
01353,4.78333,45.9667
01029,5.26667,46.4
01061,5.69473,45.7187
01317,5.35,46.2
01143,6.13333,46.3667
01209,5.88333,46.1
01448,5.78333,46.0833
01367,5.11667,46.4
01182,5.56667,45.7167
01429,5.08333,46.2167
01432,5.35,46.35
01336,5.06667,46.15
01334,4.91667,46.2167
01180,6.11667,46.3333
01071,6.06667,46.3167
01280,5.53333,45.8333
01437,5.03333,46.4667
01241,5.35,46.25
01171,5.6,46.25
01073,5.73333,45.8333
01170,5.56667,46.2
01066,5.56667,45.85
01291,4.98333,46.2333
01445,5.31667,46.35
01195,5.33333,46.2167
01125,5.48333,46.2333
01197,5.33333,46.15
01402,4.98333,46.5
01087,5.68333,46.1833
01015,5.65,45.7333
01214,5.46667,46.1667
01362,4.88333,45.95
01166,4.78333,45.9833
01416,5.5,45.9167
01025,4.95,46.3167
01263,4.76667,46.0833
01127,5.36667,46.3333
01028,4.9,46.1167
01202,5.35,45.9
01024,5.16667,46.2833
01332,4.91667,46.3
01305,4.93333,46.4333
01004,5.35,45.95
01295,4.81667,46.1167
01135,6.01251,46.2806
01407,5.83194,45.9597
01043,5,45.8333
01435,6.09723,46.3023
01370,4.83333,46.3
01022,5.7,45.8667
01264,5.11667,46.1833
01286,5.75,45.75
01316,5.65,45.8167
01452,5.65,45.85
01385,5.16667,46.1833
01318,4.86667,45.9667
01179,4.85,46.25
01177,5.43333,46.2
01282,5.55,46.0667
01255,5.46667,45.8
01079,5.68333,45.9
01005,4.9,46
01049,5.03333,45.85
01285,4.81667,45.9167
01346,5.06667,46.3
01380,5.15,46.45
01021,4.81667,45.9833
01010,5.80833,45.9167
01121,5.5,46.0333
01160,6.11667,46.25
01379,5.28333,45.95
01092,5.25,45.9667
01387,5.04167,46.3203
01340,5.63333,45.7
01454,5.71667,45.7167
01311,5.56667,45.8667
01169,4.78333,46.1167
01323,4.91667,46.4333
01109,5.9,46.1333
01357,5.73333,46.1833
01058,5.61667,45.65
01375,5.11667,46.2833
01234,5.71667,45.8
01274,5.63333,46.1333
01412,4.96667,46.1667
01038,5.28333,46.3333
01189,5.78333,46.05
01082,5.78333,46
01093,4.96667,46.1167
01158,5.91667,46.1667
01331,5.45,46.1
01140,5.08333,46.2667
01451,5.21667,46.25
01035,5.76667,46.25
01026,4.93333,46.3
01382,4.93333,46.0167
01355,5.01667,46.2833
01147,5.3,46.4167
01095,5.41667,46.2667
01314,5.28333,46
01294,5.67751,45.6767
01204,5.71667,46.15
01401,6,46.25
01373,5.55,46.1333
01376,4.96667,45.8333
01405,5.16667,46.1333
01141,5.67445,45.8192
01196,5.11667,46.3667
01208,5.76667,45.8
01102,4.95,46.3833
01302,5.75,45.8
01032,5.11667,45.8667
01059,5.71667,45.95
01037,5.48333,45.8333
01363,5.38917,46.0284
01030,4.75139,46.002
01283,5.66667,46.25
01248,4.93333,45.9
01172,5.45,46.3167
01108,5.35,46.3833
01408,5.41667,46.2167
01001,4.91667,46.15
01212,5.15,46.4
01281,6.1,46.2833
01144,4.99167,46.3417
01219,5.51667,45.8
01041,5.36667,45.9333
01019,5.58333,45.85
01159,4.88333,46.3333
01097,5.7,45.8833
01078,5.96667,46.1833
01456,5.71667,45.8167
01227,5.71667,45.7833
01181,5.6,46.2167
01146,4.9,46.1333
01262,5.05,45.85
01300,5.7,46.15
01186,5.53333,45.9
01257,5.8,46.1667
01366,5.28333,45.8833
01042,4.85,46.2167
01410,5.53333,46.2333
01246,5.03333,46.2333
01031,5.61667,46.25
01371,4.98723,45.9487
01034,5.68333,45.7667
01118,5.81667,45.95
01275,4.93223,45.8148
01383,5.13333,46.1
01312,5.38333,46.3333
01098,5.68333,45.8
01406,5.06667,46.4333
01235,5.06667,46.0667
01009,5.65,45.8
01184,5.41667,46.1583
01134,4.9,46.2833
01151,5.31667,46.0667
01145,5.2,46.0667
01290,5.18333,45.9
01325,5.18333,45.9333
01174,5.76667,46.2333
01068,5.46667,46.0833
01136,4.88333,46.2167
01210,5.95,46.3
01215,5.77834,46.0217
01399,6.08333,46.3
01100,5.61667,45.8333
01390,5.28333,45.8333
01152,5.74139,46.21
01260,5.06667,45.9333
01237,5.6,46.2167
01072,5.31667,46.1667
01259,5.11667,46.2
01457,5,46.2167
01065,5.13333,46.2
01337,4.96667,46.4333
01101,5.58333,46.1167
01052,5,46.0167
01116,5.63333,45.8
01080,5.6,46.0167
01307,5.56667,46.1667
01413,5.8,46.0167
01081,5.81667,46.2
01439,4.86667,46.35
01400,5.48333,45.8
01430,5.31667,46.0333
01176,5.66667,46.0333
01194,4.75,45.9833
01023,4.88333,46.3833
01112,5.56667,46.1167
01216,5.53333,45.75
01328,5.03333,46.1167
01297,5.08333,45.8833
01069,5.26667,46.1333
01330,5.66667,46
01244,5.2,45.9
01384,5.43333,45.95
01007,5.35,46
01106,5.43333,46.2
01359,5.05,46.0833
01449,5.26862,45.9884
01142,5.06667,45.85
01050,5,46.3833
01391,5.35,46.3667
01063,5.55251,46.1728
01200,5.48333,46.1
01397,6.11667,46.3167
01258,4.8,46.1
01060,5.6,46.0667
01250,4.81667,45.9833
01313,6.08333,46.25
01211,5.2,46.1167
01236,5.06667,46.3333
01231,4.9,46.35
01427,4.76667,45.9333
01033,5.81667,46.1
01053,5.21667,46.2
01114,5.81667,46.15
01344,5.2,46.2
01239,5.76667,45.75
01351,4.86667,46.15
01245,5.4,46.1333
01103,6.03333,46.2833
01157,4.76667,46.0167
01175,4.95,46.4167
01428,4.86667,46.1167
01441,5.53333,46.0833
01423,4.83333,45.9667
01016,4.96667,46.4667
01229,5.15,46.3167
01392,5.58333,46.25
01130,5.16667,46.3
01243,4.76473,46.0484
01308,5.95,46.1333
01393,4.98333,46.0667
01306,4.88333,46.2667
01247,6,46.3667
01360,5.95,46.2167
01335,5.08333,46.1167
01083,4.85,46.1
01198,5.1,45.95
01424,4.96667,45.8667
01046,4.93333,46.2167
01191,5.53333,46.0333
01036,5.66167,45.8795
01014,5.68333,46.3
01414,5.65,45.95
01403,5.45445,45.8081
01012,5.5,46
01076,5.53333,45.95
01139,5.15,46.4667
01224,5.2,45.7667
01173,6.06667,46.3333
01128,5.1,46.4667
01040,5.05,46.3667
01207,4.96667,45.9833
01011,5.65833,46.2083
01450,5.22223,45.9206
01213,5.3,45.9167
01154,5.18333,46.3333
02341,3.86667,49.8167
