id,latitude,longitude,cp
1000012,4620100.0,520000.0,1000
1000013,4619851.83794,524350.637881,1000
1120006,4584600.0,504100.0,1120
1150002,4583900.0,527800.0,1150
1160005,4605335.06156,533741.036717,1160
1440001,4623800.0,522800.0,1440
2100011,4984800.0,327200.0,2100
2200013,4938100.0,330200.0,2200
2250004,4975000.0,377200.0,2250
2380002,4948900.0,333600.0,2380
2860001,4953200.0,365300.0,2860
3000004,4660300.0,330400.0,3000
3100002,4634300.0,259200.0,3100
3120004,4624552.2061353,361156.8909912,3120
3300002,4613400.0,344900.0,3300
3500006,4629000.0,329300.0,3500
3600004,4628900.0,274400.0,3600
3700002,4611763.18824,341182.476871,3700
3800005,4611000.0,319800.0,3800
6130010,4365400.0,694300.0,6130
6660002,4423300.0,695200.0,6660
6770002,4376667.50087,720105.991068,6770
7100006,4523500.0,467200.0,7100
7340001,4530900.0,474200.0,7340
7380001,4464466.28043,432898.392299,7380
7400003,4460000.0,471700.0,7400
8200010,4969926.0,492701.0,8200
8320002,5008100.0,472500.0,8320
8320003,5010600.0,474300.0,8320
9000003,4294967.40212,162517.428827,9000
9100002,4312000.0,161100.0,9100
9100003,4310400.0,162100.0,9100
9140001,4288300.0,121500.0,9140
10000018,4829400.0,408300.0,10000
10120001,4824100.0,402200.0,10120
10500001,4842800.0,442100.0,10500
10600009,4833600.0,401900.0,10600
11000003,4320700.0,238600.0,11000
11100013,4317400.0,299200.0,11100
11200008,4320000.0,275000.0,11200
11540001,4299200.0,297100.0,11540
12200001,4436100.0,204100.0,12200
12330002,4444100.0,244100.0,12330
13005012,4329200.0,540100.0,13005
13008017,4326291.0,539305.0,13008
13100013,4348400.0,538300.0,13853
13100015,4353200.56086,543734.451063,13100
13100016,4352800.0,543300.0,13100
13120003,4345200.0,545400.0,13120
13260002,4321700.0,554600.0,13260
13300001,4363100.0,510100.0,13300
13300002,4361931.22131,509629.800677,13300
13320012,4346300.0,540700.0,13320
13400002,4328900.0,554100.0,13400
13600006,4318400.0,561000.0,13600
14000003,4920900.0,-37400.0,14000
14000021,4919979.0,-36004.0,14000
14110003,4885503.4234699,-54190.441915746,14110
14130008,4936978.8938573,20111.980321583,14130
14200009,4920025.30377,-34489.7117336,14200
14380002,4893800.0,-103300.0,14380
14400003,4927100.0,-69900.0,14400
14440001,4928881.0,-37839.0,14440
14790001,4915600.0,-45000.0,14790
15000018,4491033.9878759,245341.63077782,15000
15130001,4478758.39813,245602.00536,15130
16000009,4566000.0,16500.0,16000
16100008,4569309.0,-32722.0,16100
17100013,4574100.0,-62500.0,17100
17200003,4564756.29563,-102447.404804,17200
18000018,4707224.0,239510.0,18000
18100011,4722712.57674,205324.708161,18100
19490002,4519600.0,177400.0,19490
21000029,4730200.0,502400.0,21000
21210005,4728300.0,422900.0,21210
21500003,4761600.0,431800.0,21500
21700005,4709700.0,491300.0,21700
22000010,4850836.0,-276785.0,22000
22302001,4871900.0,-341600.0,22300
22480003,4831000.0,-315600.0,22480
22810002,4854944.0,-345286.0,22810
23140003,4619615.64503,218365.471322,23140
24000001,4519000.0,73600.0,24750
25000002,4724400.0,598400.0,25000
25000023,4724700.0,602000.0,25000
25200002,4750869.0,680817.0,25200
25300002,4690900.0,633500.0,25300
25300012,4684200.0,639500.0,25300
25500002,4706295.999304,660618.20549368,25500
25620001,4720100.0,614000.0,25620
25720012,4720700.0,599900.0,25720
26000015,4492371.2463147,491727.12115033,26000
26270007,4472000.0,480600.0,26270
26300011,4503474.0,505271.0,26300
26400007,4472954.82446,501713.715307,26400
26600014,4500800.0,487000.0,26600
27130002,4874700.0,92900.0,27130
27260001,4927900.0,43800.0,27260
27370001,4921000.0,93700.0,27370
27460002,4931200.0,115800.0,27460
27670004,4929337.4652981,95457.09790208,27670
27950001,4911000.0,145100.0,27950
28000009,4844600.0,149700.0,28000
28000010,4843500.0,152100.0,28000
28500007,4874800.0,127100.0,28500
28600003,4841700.0,146500.0,28600
29000012,4798007.0,-408450.0,29000
29000013,4800023.0,-408988.0,29000
29140008,4796000.0,-395900.0,29140
29420002,4858230.397,-404802.398,29420
29600004,4858100.0,-386400.0,29600
29800001,4844500.0,-425800.0,29800
30000019,4382500.0,437900.0,30000
30100013,4413800.0,410400.0,30100
30300010,4381100.0,463500.0,30300
31084001,4355400.0,140400.0,31084
31100010,4358000.0,139500.0,31100
31200002,4364300.0,146700.0,31200
31200023,4365800.0,141900.0,31200
31250001,4345571.8,199862.6,31250
31270007,4352400.0,134300.0,31270
31300008,4360072.6,139858.1,31300
31400010,4359000.0,145500.0,31400
31470002,4351800.0,118300.0,31470
31590004,4365825.6363185,166717.0244315,31590
31770005,4360800.0,133600.0,31770
32130002,4348800.0,93600.0,32130
32550001,4361700.0,57500.0,32550
33000022,4483700.0,-59900.0,33000
33110007,4486000.0,-61200.0,33110
33170008,4477700.0,-61000.0,33170
33210011,4457007.02602,-29929.4925695,33210
33370014,4484000.0,-49200.0,33370
33450005,4492100.0,-45000.0,33450
33600009,4478126.36813,-64989.1423468,33600
33600011,4479200.0,-67100.0,33600
33690001,4439000.0,-4800.0,33690
33700020,4484178.0,-66554.999999999,33700
33720008,4464507.7782224,-43556.711733642,33720
34090003,4362659.0,387592.0,34090
34130004,4361800.0,398900.0,34130
34420004,4331900.0,330200.0,34420
34500027,4333200.0,324800.0,34500
34770001,4349400.0,370900.0,34770
35000017,4810700.0,-172600.0,35000
35000021,4808328.0,-167611.0,35000
35150004,4797200.0,-153900.0,35150
35200007,4808548.36842,-169620.913642,35200
35400002,4864900.0,-199100.0,35400
35580004,4791700.0,-185700.0,35580
36130004,4685027.3080948,170741.60371735,36130
37100010,4740385.0,72656.0,37100
37170006,4731700.0,71100.0,37170
37200004,4736500.0,71100.0,37200
38150010,4532800.0,480700.0,38150
38200018,4552700.0,490300.0,38200
38260002,4538700.0,536900.0,38260
38260004,4535200.0,525400.0,38260
38340013,4530584.11382,562400.646813,38340
38470003,4522000.0,543500.0,38470
39130002,4657700.0,575400.0,39130
39200003,4637945.0,583946.0,39200
39500004,4704700.0,542700.0,39500
40180001,4368334.7419,-99557.445703,40180
40260009,4386994.1219434,-113382.28489868,40260
41000019,4760432.0,131452.0,41000
41100002,4781671.0,107590.0,41100
41200001,4736000.0,176100.0,41200
42110007,4574298.52289,420751.48006477,42110
42170003,4550700.0,426400.0,42170
42510003,4582457.0,417705.0,42510
43000009,4504792.50728,389342.284693,43000
44300021,4721838.025,-155438.87959576,44300
44320003,4730200.0,-148800.0,44470
44360009,4727432.4138225,-178013.37480546,44360
44400005,4715479.0,-153707.0,44400
44470006,4726600.0,-148800.0,44470
44580001,4704097.0,-195607.0,44580
45430006,4790759.78017,206066.757849,45430
45700002,4797200.0,271800.0,45700
46000012,4442100.0,143900.0,46000
47250001,4443100.0,12900.0,47250
47300002,4440400.0,68800.0,47300
49000012,4745400.0,-55400.0,49000
49000013,4745800.0,-57300.0,49000
49000015,4745500.0,-53400.0,49000
49300015,4706200.0,-86800.0,49300
49400007,4725200.0,-8200.0,49400
49710001,4702270.6314852,-105556.60378,49710
50480001,4938000.0,-129600.0,50480
50700002,4950800.0,-146600.0,50700
51100045,4926460.0,405954.0,51100
51100047,4923929.0,404547.0,51100
51170002,4930900.0,369700.0,51170
51210005,4887600.0,353800.0,51210
51320003,4873194.88344,420515.464366,51320
52000001,4810500.0,514300.0,52000
53100007,4831400.0,-63900.0,53100
53400002,4784400.0,-96900.0,53400
54000013,4868939.2259323,616175.66153138,54000
54200012,4867219.0,588828.0,54200
54200013,4868072.5152168,588934.449977,54200
54260003,4943169.1183209,561589.82609434,54260
54280003,4871324.3511792,624935.70160388,54280
54300002,4859664.0,647738.0,54300
55000010,4876900.0,517200.0,55000
55100007,4916500.0,538000.0,55100
56100003,4773528.0,-338937.0,56100
56100012,4773551.0,-337039.0,56100
56270007,4773700.0,-343300.0,56270
